name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),rate_cleaned,review_text
New Mangalore Lunch Home,No,No,3.3/5,7,200,Dining,3.3,It was okay.
Coffee Bytes,No,No,3.1/5,6,100,Dining,3.1,It was okay.
Parjanya Chat Zone,No,No,3.3/5,17,200,Dining,3.3,Decent experience.
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,200,Dining,2.9,Not good.
Soms Kitchen & Bakes,No,No,2.9/5,0,400,Dining,2.9,Bad service.
Banashankari Nati Style,No,No,2.9/5,0,350,Dining,2.9,Won’t come back.
Ruchi Maayaka,No,No,3.3/5,8,100,Dining,3.3,Could be better.
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining,3.3,It was okay.
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining,3.4,It was okay.
Roll Magic Fast Food,No,No,3.4/5,0,200,Dining,3.4,Decent experience.
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining,3.4,Could be better.
Thanishka Nati And Karavali Style,No,No,3.1/5,0,400,Dining,3.1,It was okay.
Swathi Cool Point,No,No,4.1/5,0,200,Dining,4.1,Amazing food!
Kaumudis Juoice,No,No,3.3/5,0,150,Dining,3.3,It was okay.
Amma - Manae,No,No,3.1/5,0,400,Dining,3.1,Decent experience.
Sri Sai Tiffannies,No,No,3.3/5,0,150,Dining,3.3,It was okay.
Hotel Andhra Speices,No,No,2.9/5,0,250,Dining,2.9,Won’t come back.
Sri Murari Family Restaurant,No,No,2.9/5,0,250,Dining,2.9,Not good.
Aramane Donne Biriyani,No,No,2.9/5,0,150,Dining,2.9,Not good.
Darkolates,No,No,3.3/5,0,200,Dining,3.3,Decent experience.
Swaada Healthy Kitchen,No,No,3.3/5,0,350,Dining,3.3,Decent experience.
Gawdaru Mane Beriyani,No,No,3.3/5,0,300,Dining,3.3,Could be better.
Melting Melodies,No,No,3.3/5,0,100,Dining,3.3,Decent experience.
New Indraprasta,No,No,3.3/5,0,150,Dining,3.3,It was okay.
Anna Kuteera,Yes,No,4.0/5,771,450,Dining,4.0,Amazing food!
Darbar,No,No,3.0/5,98,800,Dining,3.0,It was okay.
Vijayalakshmi,Yes,No,3.9/5,47,200,Dining,3.9,It was okay.
